date,isin,close_price
2026-01-05,CA135087R978,100.88
2026-01-06,CA135087R978,100.88
2026-01-07,CA135087R978,100.88
2026-01-08,CA135087R978,100.88
2026-01-09,CA135087R978,100.87
2026-01-12,CA135087R978,100.86
2026-01-13,CA135087R978,100.86
2026-01-14,CA135087R978,100.86
2026-01-15,CA135087R978,100.86
2026-01-16,CA135087R978,100.85
2026-01-19,CA135087R978,100.84
2026-01-05,CA135087S547,100.545
2026-01-06,CA135087S547,100.56
2026-01-07,CA135087S547,100.57
2026-01-08,CA135087S547,100.565
2026-01-09,CA135087S547,100.565
2026-01-12,CA135087S547,100.57
2026-01-13,CA135087S547,100.555
2026-01-14,CA135087S547,100.58
2026-01-15,CA135087S547,100.585
2026-01-16,CA135087S547,100.585
2026-01-19,CA135087S547,100.575
2026-01-05,CA135087T461,99.94
2026-01-06,CA135087T461,99.92
2026-01-07,CA135087T461,99.97
2026-01-08,CA135087T461,99.96
2026-01-09,CA135087T461,99.97
2026-01-12,CA135087T461,99.97
2026-01-13,CA135087T461,99.95
2026-01-14,CA135087T461,100
2026-01-15,CA135087T461,100
2026-01-16,CA135087T461,100.01
2026-01-19,CA135087T461,99.99
2026-01-05,CA135087T958,99.239
2026-01-06,CA135087T958,99.234
2026-01-07,CA135087T958,99.285
2026-01-08,CA135087T958,99.276
2026-01-09,CA135087T958,99.302
2026-01-12,CA135087T958,99.286
2026-01-13,CA135087T958,99.311
2026-01-14,CA135087T958,99.36
2026-01-15,CA135087T958,99.361
2026-01-16,CA135087T958,99.328
2026-01-19,CA135087T958,99.342
2026-01-05,CA135087H235,98.55
2026-01-06,CA135087H235,98.53
2026-01-07,CA135087H235,98.59
2026-01-08,CA135087H235,98.605
2026-01-09,CA135087H235,98.6
2026-01-12,CA135087H235,98.61
2026-01-13,CA135087H235,98.61
2026-01-14,CA135087H235,98.63
2026-01-15,CA135087H235,98.67
2026-01-16,CA135087H235,98.67
2026-01-19,CA135087H235,98.66
2026-01-05,CA135087Q988,103.63
2026-01-06,CA135087Q988,103.7
2026-01-07,CA135087Q988,103.71
2026-01-08,CA135087Q988,103.74
2026-01-09,CA135087Q988,103.73
2026-01-12,CA135087Q988,103.76
2026-01-13,CA135087Q988,103.72
2026-01-14,CA135087Q988,103.76
2026-01-15,CA135087Q988,103.79
2026-01-16,CA135087Q988,103.78
2026-01-19,CA135087Q988,103.74
2026-01-05,CA135087J397,98.27
2026-01-06,CA135087J397,98.38
2026-01-07,CA135087J397,98.42
2026-01-08,CA135087J397,98.39
2026-01-09,CA135087J397,98.37
2026-01-12,CA135087J397,98.39
2026-01-13,CA135087J397,98.34
2026-01-14,CA135087J397,98.4
2026-01-15,CA135087J397,98.46
2026-01-16,CA135087J397,98.47
2026-01-19,CA135087J397,98.4
2026-01-05,CA135087N670,97.68
2026-01-06,CA135087N670,97.73
2026-01-07,CA135087N670,97.785
2026-01-08,CA135087N670,97.75
2026-01-09,CA135087N670,97.75
2026-01-12,CA135087N670,97.78
2026-01-13,CA135087N670,97.72
2026-01-14,CA135087N670,97.79
2026-01-15,CA135087N670,97.85
2026-01-16,CA135087N670,97.86
2026-01-19,CA135087N670,97.8
2026-01-05,CA135087T388,99.165
2026-01-06,CA135087T388,99.085
2026-01-07,CA135087T388,99.245
2026-01-08,CA135087T388,99.17
2026-01-09,CA135087T388,99.255
2026-01-12,CA135087T388,99.21
2026-01-13,CA135087T388,99.185
2026-01-14,CA135087T388,99.355
2026-01-15,CA135087T388,99.365
2026-01-16,CA135087T388,99.315
2026-01-19,CA135087T388,99.28
2026-01-05,CA135087L443,88.64
2026-01-06,CA135087L443,88.77
2026-01-07,CA135087L443,88.845
2026-01-08,CA135087L443,88.82
2026-01-09,CA135087L443,88.83
2026-01-12,CA135087L443,88.9
2026-01-13,CA135087L443,88.86
2026-01-14,CA135087L443,88.94
2026-01-15,CA135087L443,89.05
2026-01-16,CA135087L443,89.06
2026-01-19,CA135087L443,88.96
